index,negative,neutral,positive
23890098,0.08321138,0.4816918,0.4350968
31186339,0.30285177,0.6236452,0.07350299
20663735,0.44603506,0.5184291,0.035535846
2231378,0.42603302,0.49332535,0.0806416
595909,0.5341272,0.43624777,0.029625013
5272176,0.5121455,0.4709725,0.016881997
1952976,0.36877167,0.5662631,0.06496524
24225279,0.3542306,0.5666196,0.079149805
2462689,0.2293142,0.6944026,0.07628323
20532852,0.4231698,0.5237092,0.053120997
15401493,0.28417513,0.6233889,0.092435986
18188932,0.7290936,0.25992882,0.010977486
2940516,0.36334756,0.5547798,0.08187261
1335380,0.42539322,0.527931,0.046675798
1480747,0.22956304,0.6946621,0.075774886
24448645,0.76142514,0.22109352,0.017481305
15072401,0.48359996,0.48367965,0.03272043
4018288,0.1455569,0.62675214,0.22769095
4596602,0.35035056,0.59106475,0.058584653
15224586,0.20235589,0.68248206,0.115162045
15585766,0.32069212,0.60765445,0.07165341
1760737,0.25352862,0.63332534,0.1131461
29062594,0.26162386,0.6842133,0.0541629
29326153,0.18032815,0.78924435,0.030427571
9252321,0.8200209,0.17099437,0.008984661
8388648,0.29410583,0.6137978,0.09209634
10644072,0.105015986,0.534763,0.36022097
13455076,0.30939767,0.5525404,0.13806188
33269085,0.13851923,0.59425426,0.26722652
2254491,0.3077166,0.62494135,0.067342
447194,0.34952527,0.60717237,0.043302305
24165951,0.6740138,0.3098361,0.016150095
18549958,0.41266137,0.46047425,0.12686436
12978934,0.4443481,0.496565,0.059086885
8471210,0.49838963,0.46656573,0.035044678
1925869,0.26690257,0.677162,0.055935465
10799612,0.3313673,0.56601924,0.10261348
3150865,0.36809698,0.52380383,0.10809913
20591333,0.061911773,0.7202592,0.21782899
28238240,0.32295913,0.5802964,0.096744485
5414895,0.10365169,0.75298035,0.14336796
17124781,0.43302444,0.5229669,0.04400861
5425205,0.40980625,0.5602512,0.029942563
28207941,0.2627667,0.60373574,0.13349752
14330027,0.21325763,0.5704491,0.21629325
4356664,0.42447945,0.5121551,0.06336544
19174305,0.3161935,0.6128615,0.07094502
33417831,0.5911399,0.38277885,0.026081173
2408359,0.46388346,0.43543577,0.10068076
1838882,0.3893031,0.5609655,0.04973148
25755313,0.26141945,0.7060001,0.03258056
10016997,0.3599224,0.55663764,0.083439976
8153846,0.50772583,0.42930844,0.06296571
24486071,0.27961853,0.6595832,0.060798265
4466226,0.41337162,0.5065657,0.08006276
27975390,0.08727842,0.85887367,0.053847965
6167400,0.43196338,0.51394165,0.054094967
17711304,0.4390006,0.519481,0.041518465
18392317,0.20330937,0.59708226,0.19960843
15161056,0.45512033,0.49804276,0.04683691
21500407,0.10038339,0.58748704,0.3121295
3459677,0.72443265,0.25585738,0.01970993
34420857,0.3229544,0.6041036,0.072942026
18369853,0.3059857,0.62738943,0.066624865
529276,0.42232376,0.53774863,0.03992761
20631892,0.5891731,0.38980103,0.021025883
24577134,0.071731456,0.5614864,0.3667821
32556450,0.55115306,0.39869252,0.050154466
455089,0.24688885,0.67382425,0.07928686
23266463,0.61848927,0.3396146,0.04189608
35779717,0.4019968,0.55253994,0.0454633
23299845,0.18768553,0.68963677,0.12267772
226664,0.4304042,0.50370973,0.065886095
25113407,0.4971704,0.46003014,0.042799387
27403920,0.26581076,0.58459145,0.14959776
2524925,0.38893136,0.5629706,0.04809811
657446,0.44709522,0.48585346,0.06705128
1591973,0.3957557,0.57176286,0.032481473
12383757,0.36467987,0.6196991,0.0156209795
4355919,0.30319062,0.6291817,0.067627706
32163620,0.1093602,0.71721154,0.17342833
11685571,0.30402815,0.6017542,0.09421771
4039635,0.24643272,0.6790059,0.07456141
17371197,0.59733206,0.37970495,0.022963006
1282593,0.33568826,0.59026664,0.07404509
7504323,0.64017755,0.3194964,0.04032602
7675415,0.54174584,0.42276338,0.03549079
3109393,0.37082747,0.56397724,0.06519528
7580720,0.3692501,0.59012634,0.04062358
457561,0.4100735,0.5473839,0.042542648
32137084,0.4115365,0.462711,0.12575248
4072739,0.53910273,0.44618702,0.014710234
8034072,0.20759706,0.6230872,0.1693158
3470969,0.14927146,0.68950176,0.16122676
4016437,0.50572056,0.44977415,0.044505287
17060199,0.3765091,0.55288595,0.07060489
7481126,0.23762645,0.6742859,0.0880877
9031450,0.331407,0.51861066,0.14998238
1520023,0.2575087,0.68615997,0.05633139
14582951,0.5046456,0.4747999,0.02055447
4803289,0.38897392,0.56002325,0.051002886
1788654,0.5063835,0.44961515,0.044001326
25388139,0.019220617,0.35096335,0.62981606
21735071,0.50687397,0.42088008,0.072245926
15912738,0.3988723,0.5576572,0.043470524
24589422,0.32915115,0.54864645,0.1222024
4767342,0.21890594,0.6279071,0.1531869
28177482,0.5276433,0.43477225,0.037584446
3662683,0.4431609,0.47823647,0.07860266
35068740,0.14173557,0.7191239,0.13914052
9709159,0.18630716,0.59059364,0.2230992
25094002,0.23724681,0.6717254,0.091027774
30673459,0.30580848,0.6273114,0.0668801
11624345,0.5031311,0.4682809,0.028587969
5786261,0.4278127,0.49262172,0.07956553
30706685,0.4741186,0.47965026,0.046231102
33837735,0.5384037,0.45460778,0.006988533
21132951,0.48329687,0.468412,0.048291124
18906519,0.36760554,0.58472973,0.04766478
30490651,0.23058273,0.60752076,0.16189653
33745750,0.11274111,0.65307343,0.23418547
13542692,0.7341006,0.23998487,0.025914513
27380443,0.84064126,0.15402614,0.0053326385
473286,0.32157528,0.59892774,0.07949699
33942920,0.21407239,0.71777624,0.06815135
11388102,0.019769689,0.416072,0.56415826
19757981,0.84917635,0.13583186,0.014991827
3644125,0.4412056,0.5150345,0.043759976
21450904,0.7100478,0.27624375,0.013708486
11823946,0.37255564,0.54428315,0.08316121
6575053,0.5556272,0.41660056,0.027772196
21714981,0.29173708,0.6626458,0.045617115
11990695,0.41091174,0.55647904,0.032609258
3649186,0.34218684,0.5761834,0.08162977
6935978,0.23751861,0.5971213,0.16536006
12092931,0.41075087,0.51649034,0.07275878
1596505,0.4199409,0.54591453,0.034144565
11901512,0.07141016,0.8767747,0.051815078
25807103,0.9246559,0.07123109,0.0041130865
20903293,0.35615915,0.5881529,0.05568799
27387452,0.30776164,0.6149907,0.07724769
235406,0.5551551,0.42122403,0.023620818
7718873,0.4242045,0.53448427,0.041311186
142423,0.1617025,0.6367849,0.20151259
29551629,0.06805919,0.829871,0.10206979
5107196,0.39710185,0.40409702,0.19880116
30476388,0.084284,0.42342502,0.492291
30005855,0.891544,0.09838547,0.010070465
6747334,0.10599895,0.6759979,0.21800323
2209027,0.37913346,0.49949571,0.121370815
14746604,0.20190075,0.6982166,0.099882565
8191245,0.5764298,0.39854681,0.025023397
20914710,0.5311178,0.42918578,0.039696474
27369092,0.51001537,0.43395054,0.056034066
24268011,0.102524064,0.46216175,0.4353142
4154028,0.3253006,0.630241,0.04445845
770277,0.29655385,0.63589346,0.06755275
18133264,0.534343,0.4268734,0.038783595
25588342,0.3484184,0.55191725,0.0996644
22479768,0.36210087,0.60005,0.037849113
6002183,0.4539347,0.4896829,0.05638245
6540216,0.10558783,0.6940415,0.20037067
31509403,0.5162762,0.45051447,0.033209343
225473,0.2582662,0.6117872,0.12994656
32995532,0.4237721,0.53647554,0.039752383
36566804,0.89245087,0.10170289,0.005846247
24073089,0.51202255,0.42711493,0.06086257
30405742,0.06301579,0.60993004,0.32705417
23991052,0.5534014,0.41794124,0.02865733
6084851,0.32203546,0.5588651,0.119099446
2322506,0.32276022,0.6193778,0.05786202
13495023,0.23647423,0.69947255,0.06405325
1813912,0.4595686,0.5108468,0.02958458
23605990,0.050368287,0.9047666,0.044865087
32558509,0.4560778,0.5089641,0.034958027
35030619,0.100011624,0.7725523,0.12743606
9138693,0.42999455,0.54196346,0.028042013
19332675,0.4742409,0.4897196,0.03603948
19755481,0.24058284,0.7151611,0.044256017
27368886,0.51314545,0.46411854,0.02273601
5925279,0.3077014,0.62567705,0.06662151
26499399,0.31586713,0.6546686,0.029464237
35764248,0.0034105473,0.21294527,0.7836442
26393786,0.67203295,0.28587067,0.04209645
27997130,0.21543506,0.7558346,0.028730368
7429667,0.31096384,0.628442,0.060594168
30866673,0.37180296,0.58486193,0.04333504
34501845,0.42457408,0.45710072,0.11832522
30622939,0.23750365,0.7050544,0.05744195
1373219,0.28472313,0.66060466,0.05467225
2311219,0.42387578,0.55127203,0.024852179
26834911,0.6702945,0.3150299,0.014675587
20120996,0.3251762,0.58756113,0.08726262
20533021,0.42628026,0.51905006,0.054669738
31083557,0.32089552,0.6108354,0.06826911
13448042,0.13428563,0.63251656,0.2331978
18563253,0.54037297,0.44289133,0.016735746
25858471,0.37685683,0.5343865,0.08875662
9916623,0.08751374,0.7634243,0.14906196
20753929,0.4577621,0.49598533,0.046252564
6777222,0.10475186,0.5640268,0.3312214
26464187,0.35836637,0.61351895,0.028114669
26182742,0.2722001,0.615215,0.112584844
5733324,0.36414376,0.54302496,0.092831336
8262659,0.31288874,0.5792048,0.10790639
26003987,0.20659675,0.67052317,0.12288016
6285350,0.51856995,0.45873487,0.022695236
4995581,0.34226838,0.59556574,0.062165875
20805584,0.22477384,0.59310645,0.18211968
2257358,0.28560692,0.60091513,0.1134779
11074454,0.8411978,0.14964902,0.009153173
12113134,0.34842876,0.5902881,0.06128316
5239234,0.33936498,0.62159556,0.03903951
18066729,0.35387573,0.5577283,0.088395976
6593182,0.32459,0.60779446,0.06761551
3257958,0.45882222,0.48667446,0.054503337
4716139,0.34861064,0.58073395,0.07065543
22480532,0.64273036,0.30504748,0.052222133
9294,0.53727746,0.44231218,0.02041037
32803232,0.15136886,0.42899334,0.41963774
3389457,0.7593062,0.23405617,0.0066376673
8511975,0.34713268,0.57187253,0.08099479
24840023,0.33769277,0.58356476,0.078742504
1330432,0.25501832,0.6258121,0.119169585
518117,0.23791236,0.67711663,0.084970966
19389615,0.3681796,0.58191717,0.049903244
14359457,0.70761144,0.26823086,0.024157656
6270685,0.6420501,0.322607,0.03534291
11250635,0.2120642,0.70151633,0.0864195
6752415,0.32044917,0.61744404,0.06210679
6369452,0.33289638,0.5755233,0.09158035
