Rank,Release Group,Worldwide,Domestic,%,Foreign,%
16,The Lord of the Rings,"$30,471,420","$30,471,420",100%,-,-
17,House Calls,"$28,460,702","$28,460,702",100%,-,-
18,Damien: Omen II,"$26,518,355","$26,518,355",100%,-,-
19,Invasion of the Body Snatchers,"$24,946,533","$24,946,533",100%,-,-
20,Convoy,"$22,765,081","$22,765,081",100%,-,-
21,The Wiz,"$21,049,053","$21,049,053",100%,-,-
22,F.I.S.T.,"$20,388,920","$20,388,920",100%,-,-
23,Sgt. Pepper's Lonely Hearts Club Band,"$20,378,470","$20,378,470",100%,-,-
24,Eyes of Laura Mars,"$20,000,000","$20,000,000",100%,-,-
25,The One and Only,"$16,928,137","$16,928,137",100%,-,-
26,Return from Witch Mountain,"$16,393,000","$16,393,000",100%,-,-
27,Corvette Summer,"$15,514,367","$15,514,367",100%,-,-
28,The Greek Tycoon,"$14,672,713","$14,672,713",100%,-,-
29,Death on the Nile,"$14,560,084","$14,560,084",100%,-,-
30,The Buddy Holly Story,"$14,363,400","$14,363,400",100%,-,-
31,The Big Fix,"$13,062,708","$13,062,708",100%,-,-
32,The Other Side of the Mountain: Part II,"$11,565,678","$11,565,678",100%,-,-
33,Moment by Moment,"$10,963,824","$10,963,824",100%,-,-
34,Interiors,"$10,432,366","$10,432,366",100%,-,-
35,Straight Time,"$9,900,000","$9,900,000",100%,-,-
36,Comes a Horseman,"$9,585,769","$9,585,769",100%,-,-
37,American Hot Wax,"$7,932,571","$7,932,571",100%,-,-
38,The Brink's Job,"$7,909,950","$7,909,950",100%,-,-
39,Goin' South,"$7,435,671","$7,435,671",100%,-,-
40,King of the Gypsies,"$7,325,177","$7,325,177",100%,-,-
41,Force 10 from Navarone,"$7,230,000","$7,230,000",100%,-,-
42,Paradise Alley,"$7,185,518","$7,185,518",100%,-,-
43,The Bad News Bears Go to Japan,"$7,092,495","$7,092,495",100%,-,-
44,International Velvet,"$7,009,238","$7,009,238",100%,-,-
45,Blue Collar,"$6,521,083","$6,521,083",100%,-,-
46,Pretty Baby,"$5,786,368","$5,786,368",100%,-,-
47,Gray Lady Down,"$5,438,927","$5,438,927",100%,-,-
48,Brass Target,"$5,011,158","$5,011,158",100%,-,-
49,Caravans,"$3,930,501","$3,930,501",100%,-,-
50,Days of Heaven,"$3,446,749","$3,446,749",100%,-,-
51,Our Winning Season,"$1,997,705","$1,997,705",100%,-,-
52,I Wanna Hold Your Hand,"$1,944,682","$1,944,682",100%,-,-
53,Skateboard,"$1,318,823","$1,318,823",100%,-,-
54,Uncle Joe Shannon,"$494,797","$494,797",100%,-,-
55,Nunzio,"$52,195","$52,195",100%,-,-
1,Kramer vs. Kramer,"$106,260,000","$106,260,000",100%,-,-
2,The Amityville Horror,"$86,432,000","$86,432,000",100%,-,-
3,Rocky II,"$85,182,160","$85,182,160",100%,-,-
4,Star Trek: The Motion Picture,"$82,258,456","$82,258,456",100%,-,-
5,Alien,"$78,944,891","$78,944,891",100%,-,-
6,Apocalypse Now,"$78,935,412","$78,784,010",99.8%,"$151,402",0.2%
7,10,"$74,865,517","$74,865,517",100%,-,-
8,The Jerk,"$73,691,419","$73,691,419",100%,-,-
9,Moonraker,"$70,308,099","$70,308,099",100%,-,-
10,The Muppet Movie,"$65,200,000","$65,200,000",100%,-,-
11,The Electric Horseman,"$61,801,971","$61,801,971",100%,-,-
12,The China Syndrome,"$51,718,367","$51,718,367",100%,-,-
13,Meatballs,"$43,046,003","$43,046,003",100%,-,-
14,Escape from Alcatraz,"$43,000,000","$43,000,000",100%,-,-
15,The Main Event,"$42,800,000","$42,800,000",100%,-,-
16,Manhattan,"$39,946,780","$39,946,780",100%,-,-
17,All That Jazz,"$37,823,676","$37,823,676",100%,-,-
18,The Black Stallion,"$37,799,643","$37,799,643",100%,-,-
19,The Black Hole,"$35,841,901","$35,841,901",100%,-,-
20,Starting Over,"$35,649,012","$35,649,012",100%,-,-
21,And Justice for All,"$33,300,000","$33,300,000",100%,-,-
22,1941,"$31,755,742","$31,755,742",100%,-,-
23,The Champ,"$30,441,738","$30,441,738",100%,-,-
24,Being There,"$30,177,511","$30,177,511",100%,-,-
25,The Rose,"$29,174,648","$29,174,648",100%,-,-
26,Going in Style,"$26,869,286","$26,869,286",100%,-,-
27,North Dallas Forty,"$26,079,312","$26,079,312",100%,-,-
28,The Warriors,"$22,490,039","$22,490,039",100%,-,-
29,Norma Rae,"$22,228,000","$22,228,000",100%,-,-
30,Buck Rogers in the 25th Century,"$21,671,241","$21,671,241",100%,-,-
31,National Lampoon's Animal House 1979 Re-release,"$21,508,877","$21,508,877",100%,-,-
32,The Apple Dumpling Gang Rides Again,"$20,931,111","$20,931,111",100%,-,-
33,La Cage aux Folles,"$20,424,259","$20,424,259",100%,-,-
34,Dracula,"$20,158,970","$20,158,970",100%,-,-
35,When a Stranger Calls,"$20,149,106","$20,149,106",100%,-,-
36,"Same Time, Next Year","$19,703,082","$19,703,082",100%,-,-
37,The Seduction of Joe Tynan,"$19,595,168","$19,595,168",100%,-,-
38,Life of Brian,"$19,398,164","$19,398,164",100%,-,-
39,One Hundred and One Dalmatians 1979 Re-release,"$19,000,000","$19,000,000",100%,-,-
40,Prophecy,"$18,389,402","$18,389,402",100%,-,-
41,Breaking Away,"$16,424,918","$16,424,918",100%,-,-
42,Hair,"$15,284,643","$15,284,643",100%,-,-
43,More American Graffiti,"$15,014,674","$15,014,674",100%,-,-
44,Roller Boogie,"$13,253,715","$13,253,715",100%,-,-
45,The Great Train Robbery,"$13,027,857","$13,027,857",100%,-,-
46,The Concorde... Airport '79,"$13,015,688","$13,015,688",100%,-,-
47,Phantasm,"$11,988,469","$11,988,469",100%,-,-
48,The Promise,"$11,606,005","$11,606,005",100%,-,-
49,The Legacy,"$11,364,985","$11,364,985",100%,-,-
50,Fiddler on the Roof 1979 Re-release,"$10,404,330","$10,404,330",100%,-,-
51,The Onion Field,"$9,890,597","$9,890,597",100%,-,-
52,The Frisco Kid,"$9,346,177","$9,346,177",100%,-,-
53,Meteor,"$8,400,000","$8,400,000",100%,-,-
54,The Fish That Saved Pittsburgh,"$8,281,246","$8,281,246",100%,-,-
55,Bloodline,"$8,218,695","$8,218,695",100%,-,-
56,The Prisoner of Zenda,"$7,650,600","$7,650,600",100%,-,-
57,Agatha,"$7,500,000","$7,500,000",100%,-,-
58,Americathon,"$6,171,763","$6,171,763",100%,-,-
59,Running,"$6,012,556","$6,012,556",100%,-,-
60,Cuba,"$5,610,280","$5,610,280",100%,-,-
61,Butch and Sundance: The Early Days,"$5,136,913","$5,136,913",100%,-,-
62,Players,"$4,896,094","$4,896,094",100%,-,-
63,The Great Santini,"$4,702,575","$4,702,575",100%,-,-
64,Yanks,"$3,931,010","$3,931,010",100%,-,-
65,Lost and Found,"$3,223,197","$3,223,197",100%,-,-
66,Hanover Street,"$3,000,000","$3,000,000",100%,-,-
67,Voices,"$2,631,244","$2,631,244",100%,-,-
68,Wanda Nevada,"$2,411,145","$2,411,145",100%,-,-
69,Sunburn,"$2,410,776","$2,410,776",100%,-,-
70,Rich Kids,"$1,856,122","$1,856,122",100%,-,-
71,Walk Proud,"$1,675,040","$1,675,040",100%,-,-
72,Last Embrace,"$1,537,125","$1,537,125",100%,-,-
73,Goldengirl,"$1,247,376","$1,247,376",100%,-,-
74,The Passage,"$1,101,186","$1,101,186",100%,-,-
75,Winter Kills,"$1,083,799","$1,083,799",100%,-,-
76,City on Fire,"$784,181","$784,181",100%,-,-
77,"A Man, a Woman and a Bank","$683,353","$683,353",100%,-,-
78,Five Days from Home,"$641,768","$641,768",100%,-,-
79,Fast Charlie... the Moonbeam Rider,"$444,334","$444,334",100%,-,-
80,The Human Factor,"$376,050","$376,050",100%,-,-
81,Real Life,"$364,642","$364,642",100%,-,-
82,An Almost Perfect Affair,"$85,493","$85,493",100%,-,-
83,Nest of Vipers,"$27,182","$27,182",100%,-,-
84,The Milky Way,"$2,893",-,-,"$2,893",100%
1,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025","$209,398,025",100%,-,-
2,9 to 5,"$103,290,500","$103,290,500",100%,-,-
3,Stir Crazy,"$101,300,000","$101,300,000",100%,-,-
4,Airplane!,"$83,453,539","$83,453,539",100%,-,-
5,Any Which Way You Can,"$70,687,344","$70,687,344",100%,-,-
6,Private Benjamin,"$69,847,348","$69,847,348",100%,-,-
7,Coal Miner's Daughter,"$67,182,787","$67,182,787",100%,-,-
8,Smokey and the Bandit II,"$66,132,626","$66,132,626",100%,-,-
9,The Blue Lagoon,"$58,853,106","$58,853,106",100%,-,-
10,The Blues Brothers,"$57,230,581","$57,229,890",100%,$691,<0.1%
11,Ordinary People,"$54,766,923","$54,766,923",100%,-,-
12,Popeye,"$49,823,037","$49,823,037",100%,-,-
13,Urban Cowboy,"$46,918,287","$46,918,287",100%,-,-
14,The Shining,"$44,017,374","$44,017,374",100%,-,-
15,Seems Like Old Times,"$43,995,918","$43,995,918",100%,-,-
16,Cheech and Chong's Next Movie,"$41,675,194","$41,675,194",100%,-,-
17,Caddyshack,"$39,846,344","$39,846,344",100%,-,-
18,Friday the 13th,"$39,754,601","$39,754,601",100%,-,-
19,Brubaker,"$37,121,708","$37,121,708",100%,-,-
20,Little Darlings,"$34,326,249","$34,326,249",100%,-,-
21,Dressed to Kill,"$31,899,000","$31,899,000",100%,-,-
22,The Jazz Singer,"$27,118,000","$27,118,000",100%,-,-
23,Flash Gordon,"$27,107,960","$27,107,960",100%,-,-
24,Lady and the Tramp 1980 Re-release,"$26,114,207","$26,114,207",100%,-,-
25,The Elephant Man,"$26,010,864","$26,010,864",100%,-,-
26,Bronco Billy,"$24,265,659","$24,265,659",100%,-,-
27,Raging Bull,"$23,335,868","$23,334,953",100%,$915,<0.1%
28,Xanadu,"$22,762,571","$22,762,571",100%,-,-
29,American Gigolo,"$22,743,674","$22,743,674",100%,-,-
30,My Bodyguard,"$22,482,952","$22,482,952",100%,-,-
31,The Fog,"$21,378,361","$21,378,361",100%,-,-
32,Fame,"$21,202,829","$21,202,829",100%,-,-
33,Tess,"$20,093,330","$20,093,330",100%,-,-
34,Altered States,"$19,853,892","$19,853,892",100%,-,-
35,Song of the South,"$19,800,000","$19,800,000",100%,-,-
36,Cruising,"$19,784,223","$19,784,223",100%,-,-
37,The Octagon,"$18,971,000","$18,971,000",100%,-,-
38,The Aristocats,"$18,000,000","$18,000,000",100%,-,-
39,Honeysuckle Rose,"$17,815,212","$17,815,212",100%,-,-
40,Herbie Goes Bananas,"$17,000,000","$17,000,000",100%,-,-
41,Rough Cut,"$16,656,125","$16,656,125",100%,-,-
42,The Final Countdown,"$16,647,800","$16,647,800",100%,-,-
43,The Hunter,"$16,274,150","$16,274,150",100%,-,-
44,Hero at Large,"$15,934,737","$15,934,737",100%,-,-
45,The Long Riders,"$15,795,189","$15,795,189",100%,-,-
46,The Island,"$15,716,828","$15,716,828",100%,-,-
47,Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175","$15,693,175",100%,-,-
48,First Family,"$15,198,912","$15,198,912",100%,-,-
49,Prom Night,"$14,796,236","$14,796,236",100%,-,-
50,The Nude Bomb,"$14,662,035","$14,662,035",100%,-,-
51,"Oh, God! Book II","$14,504,277","$14,504,277",100%,-,-
52,The Competition,"$14,287,755","$14,287,755",100%,-,-
53,Wholly Moses!,"$14,155,617","$14,155,617",100%,-,-
54,Mary Poppins 1980 Re-release,"$14,000,000","$14,000,000",100%,-,-
55,The Last Married Couple in America,"$12,835,544","$12,835,544",100%,-,-
56,Used Cars,"$11,715,321","$11,715,321",100%,-,-
57,The Last Flight of Noah's Ark,"$11,000,000","$11,000,000",100%,-,-
58,The Mirror Crack'd,"$11,000,000","$11,000,000",100%,-,-
59,The Fiendish Plot of Dr. Fu Manchu,"$10,697,276","$10,697,276",100%,-,-
60,Stardust Memories,"$10,389,003","$10,389,003",100%,-,-
61,The Hollywood Knights,"$10,000,000","$10,000,000",100%,-,-
62,Serial,"$9,870,727","$9,870,727",100%,-,-
63,Somewhere in Time,"$9,709,597","$9,709,597",100%,-,-
64,Saturn 3,"$9,000,000","$9,000,000",100%,-,-
65,Tribute,"$9,000,000","$9,000,000",100%,-,-
66,The Formula,"$8,894,289","$8,894,289",100%,-,-
67,Mad Max,"$8,750,000","$8,750,000",100%,-,-
68,Battle Creek Brawl,"$8,527,743","$8,527,743",100%,-,-
69,The Awakening,"$8,415,112","$8,415,112",100%,-,-
70,Fatso,"$7,653,061","$7,653,061",100%,-,-
71,How to Become a Detective,"$7,500,000","$7,500,000",100%,-,-
72,How to Beat the High Cost of Living,"$7,500,000","$7,500,000",100%,-,-
73,Foxes,"$7,470,348","$7,470,348",100%,-,-
74,The Big Red One,"$7,206,220","$7,206,220",100%,-,-
75,The Stunt Man,"$7,063,886","$7,063,886",100%,-,-
76,Where the Buffalo Roam,"$6,659,377","$6,659,377",100%,-,-
77,The Gong Show Movie,"$6,621,520","$6,621,520",100%,-,-
78,Motel Hell,"$6,342,668","$6,342,668",100%,-,-
79,Little Miss Marker,"$6,321,392","$6,321,392",100%,-,-
80,Oh Heavenly Dog,"$6,216,067","$6,216,067",100%,-,-
81,Divine Madness,"$5,318,098","$5,318,098",100%,-,-
82,In God We Trust (or Gimme That Prime Time Religion),"$5,215,015","$5,215,015",100%,-,-
83,He Knows You're Alone,"$4,875,436","$4,875,436",100%,-,-
84,Coast to Coast,"$4,495,445","$4,495,445",100%,-,-
85,Melvin and Howard,"$4,309,490","$4,309,490",100%,-,-
86,Roadie,"$4,226,370","$4,226,370",100%,-,-
87,Gloria,"$4,059,673","$4,059,673",100%,-,-
88,Jaws 2 1980 Re-release,"$4,028,735","$4,028,735",100%,-,-
89,Kagemusha,"$4,001,070","$4,000,000",100%,"$1,070",<0.1%
90,Resurrection,"$3,910,019","$3,910,019",100%,-,-
91,Hide in Plain Sight,"$3,806,930","$3,806,930",100%,-,-
92,Guyana: Cult of the Damned,"$3,798,102","$3,798,102",100%,-,-
93,When Time Ran Out...,"$3,763,988","$3,763,988",100%,-,-
94,Heaven's Gate,"$3,484,331","$3,484,331",100%,-,-
95,North Sea Hijack,"$2,993,772","$2,993,772",100%,-,-
96,Midnight Madness,"$2,900,000","$2,900,000",100%,-,-
97,Loving Couples,"$2,806,659","$2,806,659",100%,-,-
98,The Idolmaker,"$2,625,716","$2,625,716",100%,-,-
99,The Black Marble,"$2,500,000","$2,500,000",100%,-,-
100,Gilda Live,"$2,261,507","$2,261,507",100%,-,-
101,Windows,"$2,128,395","$2,128,395",100%,-,-
102,Just Tell Me What You Want,"$2,086,905","$2,086,905",100%,-,-
103,"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193","$2,013,193",100%,-,-
104,Carny,"$1,817,720","$1,817,720",100%,-,-
105,When a Stranger Calls 1980 Re-release,"$1,262,052","$1,262,052",100%,-,-
106,Why Would I Lie?,"$1,175,855","$1,175,855",100%,-,-
107,Nijinsky,"$1,047,454","$1,047,454",100%,-,-
108,Heart Beat,"$954,046","$954,046",100%,-,-
109,One-Trick Pony,"$843,215","$843,215",100%,-,-
110,"Those Lips, Those Eyes","$804,713","$804,713",100%,-,-
111,A Small Circle of Friends,"$766,760","$766,760",100%,-,-
112,Leo and Loree,"$517,988","$517,988",100%,-,-
113,Home Movies,"$89,134","$89,134",100%,-,-
114,Phobia,"$59,167","$59,167",100%,-,-
115,Stalker 2019 Re-release,"$11,757",-,-,"$11,757",100%
116,Breaking Glass,"$2,471","$2,471",100%,-,-
1,Superman II,"$216,385,706","$108,185,706",50%,"$108,200,000",50%
2,Raiders of the Lost Ark,"$212,222,025","$212,222,025",100%,-,-
3,On Golden Pond,"$119,285,432","$119,285,432",100%,-,-
4,Arthur,"$95,461,682","$95,461,682",100%,-,-
5,Stripes,"$85,297,000","$85,297,000",100%,-,-
6,The Cannonball Run,"$72,179,579","$72,179,579",100%,-,-
7,Chariots of Fire,"$58,972,904","$58,972,904",100%,-,-
8,For Your Eyes Only,"$54,812,802","$54,812,802",100%,-,-
9,The Four Seasons,"$50,427,646","$50,427,646",100%,-,-
10,Time Bandits,"$42,365,581","$42,365,581",100%,-,-
11,Clash of the Titans,"$41,092,328","$41,092,328",100%,-,-
12,Absence of Malice,"$40,716,963","$40,716,963",100%,-,-
13,Reds,"$40,382,788","$40,382,659",100%,$129,<0.1%
14,The Fox and the Hound,"$39,900,000","$39,900,000",100%,-,-
15,Tarzan the Ape Man,"$36,565,280","$36,565,280",100%,-,-
16,Taps,"$35,856,053","$35,856,053",100%,-,-
17,Sharky's Machine,"$35,610,100","$35,610,100",100%,-,-
18,Excalibur,"$34,967,437","$34,967,437",100%,-,-
19,Endless Love,"$32,492,674","$31,184,024",96%,"$1,308,650",4%
20,History of the World: Part I,"$31,672,907","$31,672,907",100%,-,-
21,Bustin' Loose,"$31,261,269","$31,261,269",100%,-,-
22,The Great Muppet Caper,"$31,206,251","$31,206,251",100%,-,-
23,An American Werewolf in London,"$30,681,266","$30,565,292",99.6%,"$115,974",0.4%
24,Neighbors,"$29,916,207","$29,916,207",100%,-,-
25,Fort Apache the Bronx,"$29,200,000","$29,200,000",100%,-,-
26,Cinderella 1981 Re-release,"$28,040,000","$28,040,000",100%,-,-
27,The French Lieutenant's Woman,"$26,890,068","$26,890,068",100%,-,-
28,Private Lessons,"$26,279,000","$26,279,000",100%,-,-
29,Modern Problems,"$26,154,211","$26,154,211",100%,-,-
30,Halloween II,"$25,533,818","$25,533,818",100%,-,-
31,Only When I Laugh,"$25,524,778","$25,524,778",100%,-,-
32,Escape from New York,"$25,244,626","$25,244,626",100%,-,-
33,Body Heat,"$24,058,838","$24,058,838",100%,-,-
34,Ghost Story,"$23,371,905","$23,371,905",100%,-,-
35,Friday the 13th Part 2,"$21,722,776","$21,722,776",100%,-,-
36,The Final Conflict,"$20,471,382","$20,471,382",100%,-,-
37,The Incredible Shrinking Woman,"$20,259,961","$20,259,961",100%,-,-
38,Mommie Dearest,"$19,032,261","$19,032,261",100%,-,-
39,Paternity,"$18,838,812","$18,838,812",100%,-,-
40,Under the Rainbow,"$18,826,490","$18,826,490",100%,-,-
41,The Howling,"$17,985,893","$17,985,893",100%,-,-
42,Eye of the Needle,"$17,583,634","$17,583,634",100%,-,-
43,Take This Job and Shove It,"$17,569,027","$17,569,027",100%,-,-
44,Outland,"$17,374,595","$17,374,595",100%,-,-
45,The Devil and Max Devlin,"$16,000,000","$16,000,000",100%,-,-
46,Caveman,"$15,965,924","$15,965,924",100%,-,-
47,Continental Divide,"$15,578,237","$15,578,237",100%,-,-
48,The Night the Lights Went Out in Georgia,"$14,923,752","$14,923,752",100%,-,-
49,Ragtime,"$14,920,781","$14,920,781",100%,-,-
50,Nighthawks,"$14,905,359","$14,905,359",100%,-,-
51,S.O.B.,"$14,867,086","$14,867,086",100%,-,-
52,Rich and Famous,"$14,492,125","$14,492,125",100%,-,-
53,Scanners,"$14,225,876","$14,225,876",100%,-,-
54,Dragonslayer,"$14,110,013","$14,110,013",100%,-,-
55,True Confessions,"$12,850,276","$12,850,276",100%,-,-
56,Atlantic City,"$12,729,675","$12,729,675",100%,-,-
57,The Legend of the Lone Ranger,"$12,617,845","$12,617,845",100%,-,-
58,First Monday in October,"$12,480,249","$12,480,249",100%,-,-
59,The Postman Always Rings Twice,"$12,383,416","$12,376,625",99.9%,"$6,791",<0.1%
60,Blow Out,"$12,000,000","$12,000,000",100%,-,-
61,Back Roads,"$11,809,387","$11,809,387",100%,-,-
62,Thief,"$11,492,915","$11,492,915",100%,-,-
63,Victory,"$10,853,418","$10,853,418",100%,-,-
64,Rollover,"$10,851,261","$10,851,261",100%,-,-
65,Wolfen,"$10,626,725","$10,626,725",100%,-,-
66,Carbon Copy,"$9,566,593","$9,566,593",100%,-,-
67,Pennies from Heaven,"$9,171,289","$9,171,289",100%,-,-
68,Deadly Blessing,"$8,279,042","$8,279,042",100%,-,-
69,Whose Life Is It Anyway?,"$8,206,145","$8,206,145",100%,-,-
70,Prince of the City,"$8,124,257","$8,124,257",100%,-,-
71,The Funhouse,"$7,886,857","$7,886,857",100%,-,-
72,Buddy Buddy,"$7,258,543","$7,258,543",100%,-,-
73,La Cage aux Folles II,"$6,950,125","$6,950,125",100%,-,-
74,...All the Marbles,"$6,468,195","$6,468,195",100%,-,-
75,Eyewitness,"$6,400,000","$6,400,000",100%,-,-
76,Gallipoli,"$5,732,587","$5,732,587",100%,-,-
77,My Bloody Valentine,"$5,672,031","$5,672,031",100%,-,-
78,Going Ape!,"$5,504,218","$5,504,218",100%,-,-
79,The Dogs of War,"$5,484,132","$5,484,132",100%,-,-
80,Student Bodies,"$5,165,432","$5,165,432",100%,-,-
81,The Watcher in the Woods,"$5,000,000","$5,000,000",100%,-,-
82,All Night Long,"$4,454,295","$4,454,295",100%,-,-
83,The Pursuit of D.B. Cooper,"$3,702,028","$3,702,028",100%,-,-
84,Zoot Suit,"$3,256,082","$3,256,082",100%,-,-
85,The Fan,"$3,082,096","$3,082,096",100%,-,-
86,The Last Metro,"$3,007,436","$3,007,436",100%,-,-
87,Gas,"$2,869,425","$2,869,425",100%,-,-
88,Modern Romance,"$2,863,642","$2,863,642",100%,-,-
89,The Hand,"$2,447,576","$2,447,576",100%,-,-
90,Heartbeeps,"$2,154,696","$2,154,696",100%,-,-
91,This Is Elvis,"$2,028,612","$2,028,612",100%,-,-
92,Sphinx,"$2,022,771","$2,022,771",100%,-,-
93,Honky Tonk Freeway,"$2,004,742","$2,004,742",100%,-,-
94,Raggedy Man,"$1,976,198","$1,976,198",100%,-,-
95,King of the Mountain,"$1,791,147","$1,791,147",100%,-,-
96,Cutter's Way,"$1,729,274","$1,729,274",100%,-,-
97,Silence of the North,"$1,622,898","$1,622,898",100%,-,-
98,From Mao to Mozart: Isaac Stern in China,"$1,205,934","$1,205,934",100%,-,-
99,Night School,"$1,169,875","$1,169,875",100%,-,-
100,Eyes of a Stranger,"$1,118,634","$1,118,634",100%,-,-
101,Herbie Goes Bananas 1981 Re-release,"$1,000,000","$1,000,000",100%,-,-
102,Herbie Goes to Monte Carlo 1981 Re-release,"$1,000,000","$1,000,000",100%,-,-
103,Sunday Lovers,"$621,931","$621,931",100%,-,-
104,Beyond the Reef,"$549,931","$547,525",99.6%,"$2,406",0.4%
105,Cattle Annie and Little Britches,"$534,816","$534,816",100%,-,-
106,Hard Country,"$534,653","$534,653",100%,-,-
107,Man of Iron,"$492,035","$492,035",100%,-,-
108,Kelly,"$469,777","$469,777",100%,-,-
109,Freaky Friday 1981 Re-release,"$300,000","$300,000",100%,-,-
110,The Sea Wolves,"$220,181","$220,181",100%,-,-
111,Second-Hand Hearts,"$19,450","$19,450",100%,-,-
112,Glen or Glenda 1981 Re-release,"$10,158","$10,158",100%,-,-
113,That Obscure Object of Desire,$809,-,-,$809,100%
114,Dissolute Wife,$785,-,-,$785,100%
1,E.T. the Extra-Terrestrial,"$359,197,037","$359,197,037",100%,-,-
2,Tootsie,"$177,200,000","$177,200,000",100%,-,-
3,An Officer and a Gentleman,"$129,795,554","$129,795,554",100%,-,-
4,Rocky III,"$124,146,897","$124,146,897",100%,-,-
5,Porky's,"$105,492,483","$105,492,483",100%,-,-
6,Star Trek II: The Wrath of Khan,"$78,912,963","$78,912,963",100%,-,-
7,48 Hrs.,"$78,868,508","$78,868,508",100%,-,-
8,Poltergeist,"$76,606,280","$76,606,280",100%,-,-
9,The Best Little Whorehouse in Texas,"$69,701,637","$69,701,637",100%,-,-
10,Annie,"$57,059,003","$57,059,003",100%,-,-
11,The Verdict,"$53,977,250","$53,977,250",100%,-,-
12,Gandhi,"$52,767,889","$52,767,889",100%,-,-
13,First Blood,"$47,212,904","$47,212,904",100%,-,-
14,The Toy,"$47,118,057","$47,118,057",100%,-,-
15,Firefox,"$46,708,276","$46,708,276",100%,-,-
16,The Dark Crystal,"$40,577,001","$40,577,001",100%,-,-
17,Conan the Barbarian,"$39,565,475","$39,565,475",100%,-,-
18,The Sword and the Sorcerer,"$39,103,425","$39,103,425",100%,-,-
19,Best Friends,"$36,821,203","$36,821,203",100%,-,-
20,Richard Pryor: Live on the Sunset Strip,"$36,299,720","$36,299,720",100%,-,-
21,Friday the 13th: Part 3,"$34,581,519","$34,581,519",100%,-,-
22,Tron,"$33,000,000","$33,000,000",100%,-,-
23,Young Doctors in Love,"$30,688,860","$30,688,860",100%,-,-
